OTUId,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
OTU_747,2,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,3,0,0
OTU_371,3,0,0,0,0,0,0,8,1,0,0,0,0,2,0,5,9,0,1,6,0,2,0,34,0,3,0,0,0,2,0,0,0,8,4,6,0,0,18,1,8,0,2,4,1,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,43,0,0,28,0,0,7,0,0,3,0,0,12,0,0,4,34,14,0,0,1,0,0,1,0,0,17,0,0,0,0,0,0,0,51,1,3,0,0,0,0,2,0,11,14,0,0
OTU_259,3,14,0,0,4,4,11,2,4,2,1,2,1,15,1,14,5,1,0,5,3,3,4,57,0,4,5,0,21,2,0,0,3,6,1,7,0,2,0,5,1,0,0,0,0,19,1,0,0,0,0,4,0,0,23,17,29,33,14,5,0,0,6,50,1,11,1,0,1,0,0,0,3,6,16,1,5,3,0,0,1,0,1,0,0,0,1,2,0,0,15,2,0,2,13,3,3,1,0,0,2,6,21,13,0,3,2
OTU_100,1,41,34,91,7,22,15,7,4,5,12,12,12,7,62,6,5,4,4,10,1,27,8,33,28,22,13,25,4,7,19,4,21,15,6,16,1,6,19,10,21,10,17,8,10,4,21,0,11,18,100,7,21,10,2,31,70,29,20,60,31,0,5,70,50,43,3,19,64,28,54,32,41,5,10,3,29,18,29,52,1,41,30,74,0,21,7,24,10,4,96,221,17,23,30,8,16,21,19,125,124,18,164,1,1,17,4
OTU_111,5,106,35,31,6,11,15,20,0,4,0,8,28,6,11,8,30,2,5,13,1,61,22,62,8,63,42,2,349,2,1,2,7,25,10,0,1,9,11,38,15,0,3,0,0,73,3,0,8,17,10,5,1,15,3,4,53,76,16,0,67,0,6,350,13,17,3,2,0,29,6,23,27,31,19,50,13,59,5,4,89,10,22,4,1,21,42,7,1,6,32,27,22,7,66,3,47,32,4,0,25,20,21,8,9,16,6
OTU_183,2,7,0,1,0,0,0,10,5,3,6,25,0,10,1,29,0,0,6,0,9,0,0,0,0,0,0,0,25,6,0,1,0,15,1,0,0,3,42,0,6,1,0,2,3,0,0,0,24,7,10,0,15,6,11,0,28,0,0,0,8,21,2,0,0,1,1,0,26,2,3,15,2,1,0,1,14,1,0,10,39,6,37,6,1,2,63,0,2,0,1,0,0,6,6,17,11,0,339,11,23,0,6,12,2,5,0
OTU_92,3,6,33,103,3,12,6,17,63,11,29,39,10,20,168,5,20,2,66,28,65,96,14,13,9,15,22,3,9,55,20,17,9,41,13,23,1,2,71,2,43,30,48,13,15,32,60,0,13,12,40,4,28,23,19,29,37,20,28,30,15,27,7,37,23,16,4,19,83,43,171,89,143,2,26,42,127,5,56,357,2,147,95,38,1,3,14,66,4,21,122,153,12,49,201,94,12,70,39,250,212,3,95,5,3,68,29
OTU_743,3,1,10,1,0,2,9,1,12,10,6,0,0,1,0,0,2,0,4,0,3,1,0,1,0,0,2,0,0,13,3,0,0,5,0,2,0,0,1,0,1,1,0,0,0,7,6,0,1,6,0,12,0,0,6,7,3,4,6,6,0,24,17,0,0,17,2,0,1,4,2,16,0,2,0,0,1,2,6,0,6,1,0,0,5,0,3,0,0,0,2,0,0,2,2,9,0,1,0,0,1,0,0,9,3,3,0
OTU_967,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_504,1,0,4,0,0,0,0,1,9,3,1,1,1,2,4,1,0,2,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,7,0,0,4,1,0,0,0,0,2,0,0,0,0,1,1,3,1,3,1,1,0,2,0,0,0,3,16,2,0,0,2,0,0,0,0,0,8,0,0,0,0,1,1,0,1,18,0,21,0,0,1,3,0,0,0,0,1,0,3,0,1,16,0,1,0,0,0,0,1,34,0,0
OTU_140,4,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,1,1,182,1,0,0,0,0,0,0,0,0,176,115,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,554,0,0
OTU_880,2,0,0,1,0,0,0,0,30,0,0,16,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0
OTU_227,4,0,0,0,0,0,0,0,15,0,0,1,0,26,0,0,0,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0,0,0,34,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,81,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,0,0,2,0,25,42,0,0
OTU_202,3,3,7,11,7,8,5,4,4,8,6,5,7,0,9,1,5,1,7,7,1,26,0,4,1,1,1,0,0,11,83,3,0,6,1,3,0,0,6,0,11,33,0,0,0,0,11,0,10,11,49,0,6,5,1,13,21,1,6,6,0,2,4,3,2,14,0,4,16,13,26,13,0,0,0,1,7,1,18,17,0,63,42,4,1,1,8,7,0,2,6,79,1,4,34,19,2,4,4,25,180,0,14,5,0,20,1
OTU_160,1,60,13,0,26,10,36,1,29,202,21,0,134,12,1,2,1,62,0,39,9,2,15,456,1,3,1,1,5,8,35,9,1,11,14,2,3,176,0,3,128,0,3,14,0,6,1,0,1,5,2,74,15,55,50,144,14,12,8,3,6,72,1,10,0,84,89,11,2,8,0,14,10,34,41,4,146,7,59,48,0,3,5,0,25,20,2,0,0,1,0,0,10,7,16,21,17,6,184,0,3,1,4,5,13,3,6
OTU_962,3,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,3,1,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0
OTU_756,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,5,0,0,0,0,3,0,0,0,6,0,0,2,1,1,1,0,1,4,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,3,0,6,0,0,0,3,0,0,0,0,1,0,0,3,0,1,2,2,1,6,0,0,0,3,1,1
OTU_155,2,0,4,3,0,0,10,3,1,41,38,0,109,17,0,0,0,0,0,12,0,47,1,693,5,0,92,0,0,1,1,0,0,42,0,64,1,0,0,0,0,0,17,0,2,0,1,0,1,0,0,13,0,112,42,39,11,1,2,7,1,2,0,145,13,36,0,8,8,0,1,2,116,56,92,5,28,15,7,5,0,38,3,0,7,62,0,35,1,5,13,0,0,0,3,6,51,58,15,0,2,0,7,0,1,33,6
OTU_450,1,1,0,0,1,0,4,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,2,1,10,2,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,2,0,0,0,0,0,1,0,3,0,0,0,2,1,7,5,2,2,7,0,0,4,0,0,1,1,0,0,1,4,1,0,0,0,6,0,1,0,1,3,3,0,0,0,0,0,0,0,2,3,1,0,4,0,0,1,0,0,3,1,4,0,0,0,0
OTU_637,1,0,0,1,0,1,11,0,8,15,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,10,2,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,2,6,0,18,5,0,1,25,1,0,0,0,0,45,25,0,0,7,0,0,2,0,2,2,1,1,0,0,0,0,2,2,12,4,0,0,1,0,6,0,0,0,1,2,0,10,2,5,0,0,9,0,3,0,1,4,50,8,0
OTU_165,1,0,0,2,0,1,19,2,4,32,41,0,115,12,0,0,0,0,0,20,0,39,3,682,3,0,124,0,0,1,1,0,0,26,0,76,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,10,0,118,46,34,16,1,0,5,3,5,0,141,15,28,0,3,7,0,2,3,137,88,81,7,28,27,13,12,0,44,1,0,4,57,0,42,1,3,11,0,0,0,5,7,46,47,24,0,2,0,3,1,5,32,9
OTU_914,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0
OTU_190,1,6,91,47,2,29,3,6,6,3,1,6,1,2,0,1,3,2,18,0,1,1,0,5,2,5,18,0,4,122,21,15,0,8,4,25,0,0,24,32,51,15,1,4,2,45,41,0,0,14,5,5,1,2,2,7,18,25,3,1,93,3,1,3,51,6,0,8,8,1,34,5,4,1,39,7,7,7,12,40,3,12,6,5,1,5,2,160,1,4,35,58,18,8,4,44,3,17,19,30,84,1,17,0,1,32,5
OTU_403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,24,0,0,0,141,0,0,0,0,0,105,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_131,2,63,8,0,24,6,38,3,14,137,11,1,99,9,0,2,0,57,2,20,5,8,11,430,0,7,5,0,7,1,15,14,4,24,12,4,5,111,0,4,107,1,1,7,0,6,1,0,2,2,3,44,6,38,30,81,13,9,2,5,5,47,3,9,2,50,76,7,2,6,0,10,10,25,29,8,66,19,34,34,0,2,4,0,17,20,1,0,0,0,2,0,8,4,15,11,10,22,148,0,2,0,2,4,12,2,4
OTU_1002,2,7,4,1,2,6,5,0,6,4,0,1,1,1,0,5,1,3,0,4,2,0,0,5,0,0,0,0,1,0,0,5,0,4,3,1,0,2,0,10,1,0,0,4,0,5,0,0,1,2,0,5,5,1,1,6,1,0,0,1,1,4,0,0,1,6,1,0,4,0,0,4,9,2,3,1,9,1,0,0,2,0,0,0,1,2,0,2,0,1,2,0,1,1,6,2,1,1,0,0,1,0,3,8,4,2,0
OTU_469,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
OTU_635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,12,0,0,0
OTU_959,1,20,35,0,0,0,0,15,32,10,0,7,16,292,19,2,0,0,6,472,0,8,11,520,12,50,36,0,14,4,0,2,0,4,0,0,0,0,21,42,0,0,2,31,95,24,0,0,2,44,34,120,3,0,0,0,161,0,3,10,145,2,0,602,1,1,1,0,8,2,2,0,0,0,4,0,234,39,0,1,33,1,67,6,19,35,145,0,0,0,4,144,16,24,1199,6,649,278,13,77,1,0,0,735,10,54,2
OTU_818,1,44,13,0,0,16,24,2,35,41,2,11,38,4,1,3,5,3,0,8,1,16,23,760,0,32,15,0,2,4,2,8,0,40,12,25,0,59,1,38,1,0,0,6,0,21,0,0,1,1,16,12,0,12,7,29,5,0,7,3,8,7,0,8,1,161,19,1,2,3,0,1,1,2,13,2,39,19,26,3,0,0,0,0,6,69,0,1,0,1,6,0,0,4,3,22,14,41,144,0,5,1,3,3,8,8,2
OTU_41,2,767,34,0,125,24,376,1,407,567,79,443,295,63,3,183,304,606,6,115,6,47,1,33,5,124,9,0,43,40,156,84,50,522,93,25,3,460,3,2,130,15,7,96,1,475,183,0,19,2,126,551,2,303,699,109,51,167,344,48,177,427,253,50,7,321,16,50,247,130,0,29,4,225,317,32,110,244,186,420,67,32,1,7,3,126,7,147,0,13,390,120,468,69,8,756,32,327,359,4,4,10,29,210,77,10,70
OTU_63,1,22,30,1,346,71,49,10,23,141,26,83,128,16,55,74,506,67,21,18,0,40,9,642,1,7,15,0,4,91,0,20,16,89,54,34,0,1,8,1,16,0,6,3,1,48,4,0,1,2,0,52,3,177,18,94,13,5,14,6,7,41,1,7,0,114,46,23,166,2,0,1,50,98,63,9,27,29,151,13,6,10,6,1,4,17,107,40,0,5,55,2,22,5,5,112,2,168,5,0,11,10,8,2,190,6,17
OTU_476,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,6,20,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,31,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,0,0,8,0,0
OTU_618,3,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,13,0,0,11,0,0,0,8,0,16,0,0,0,1,0,0,2,1,1,2,0,2,0,0,0,0,59,4,0,0,0,0,0,0,0,0,0,0,4,1,0,8,7,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU_406,1,23,10,5,4,0,10,20,0,0,0,0,1,1,1,0,0,1,2,0,1,4,4,3,5,4,3,37,3,1,6,2,3,5,3,1,2,1,2,4,7,13,1,3,2,47,4,3,1,6,56,0,9,4,4,10,15,11,71,3,6,2,1,16,19,3,0,6,1,5,8,12,8,5,8,1,4,1,2,13,0,4,14,15,1,1,6,6,21,0,6,17,5,0,3,0,4,8,2,5,5,4,20,1,0,10,0
OTU_257,2,0,5,10,4,4,3,7,3,6,6,27,5,0,14,3,2,0,19,8,2,7,1,2,4,6,25,3,3,48,19,0,6,10,1,2,0,4,12,0,3,2,1,1,1,2,10,0,0,3,1,3,4,14,0,2,3,0,3,21,3,25,3,1,8,13,0,3,11,12,6,20,9,5,3,0,38,2,4,12,0,19,4,4,1,3,1,9,0,6,0,5,1,4,19,8,0,6,18,70,77,0,12,3,1,3,14
OTU_243,3,12,0,1,20,9,10,0,42,3,3,2,53,3,11,15,26,97,0,12,2,17,3,132,2,4,0,0,3,30,7,1,11,31,25,4,0,40,0,0,57,0,2,0,0,28,2,0,3,1,0,35,2,14,15,39,0,6,16,2,6,21,11,3,0,78,33,3,6,0,0,2,1,5,15,17,11,4,3,11,0,0,1,0,9,3,7,1,0,0,3,0,2,0,2,17,5,21,23,0,3,4,1,20,5,1,1
OTU_32,1,43,1,4,22,8,2,8,8,0,3,16,0,0,0,5,9,7,0,6,0,12,10,13,0,15,29,5,24,0,1,0,7,1,0,0,2,22,0,1,6,0,9,18,1,15,19,6625,4,5,0,1,15,25,5,8,14,33,13,2,1,1,3,572,7,3,8,132,0,26,1,1,0,10,3,1218,6,707,6,2,25,1,2,4,1,1,1,114,0,0,40,0,5,1,0,2,0,375,1,0,192,61,175,6,3,8,5
OTU_685,2,2,0,0,4,0,0,3,5,2,0,0,13,1,0,5,9,0,2,16,1,0,0,130,0,3,0,0,1,0,0,6,0,1,1,0,0,11,0,0,1,0,1,1,0,3,0,0,0,0,1,7,1,8,3,0,1,3,1,1,8,0,2,2,4,0,8,0,0,7,0,0,4,0,0,0,19,2,0,0,1,3,3,0,0,0,6,0,1,1,0,0,10,0,1,3,1,1,0,0,0,4,1,0,17,0,0
OTU_380,1,1,0,0,0,0,0,2,0,0,1,3,2,1,0,0,0,0,1,0,0,1,2,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,5,0,0,0,16,1,0,4,0,0,0,0,1,0,0,0,2,0,0,1,4,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,8,0,0,0,0,2,0,6,2,0,0
OTU_439,1,0,24,0,1,0,24,0,1,1,0,1,7,3,0,0,0,0,5,0,0,1,0,2,0,4,2,2,0,0,0,0,0,6,0,4,0,0,16,4,1,1,0,3,1,1,1,0,1,11,10,0,0,1,0,1,1,0,0,4,7,3,1,0,0,1,0,1,0,6,5,9,1,1,1,0,1,9,3,3,0,14,7,2,0,1,2,0,0,2,0,141,4,3,9,4,2,0,6,3,9,1,0,5,2,0,2
OTU_705,3,1,1,1,0,2,3,0,2,4,1,2,1,0,1,6,1,0,0,2,0,0,0,7,1,0,2,0,4,0,0,1,0,2,2,2,0,4,0,6,4,0,0,0,0,1,1,0,1,4,0,4,0,1,1,1,2,3,1,2,0,1,0,0,0,1,5,0,0,0,0,1,7,3,5,1,5,6,0,0,2,0,1,0,0,0,0,2,0,0,3,1,0,1,2,0,0,0,0,0,1,0,1,1,4,3,1
OTU_669,2,0,12,0,2,4,1,2,1,2,13,0,0,0,0,0,4,0,8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,6,0,0,0,0,1,15,0,0,5,5,1,0,0,1,0,9,8,0,1,7,2,0,0,4,4,1,0,8,2,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,7,0,1,0,0,0,0,0,1,0,0,4
OTU_591,1,1,19,15,1,21,5,5,4,7,17,6,7,7,0,1,0,0,6,0,3,4,7,4,3,0,24,3,1,16,30,0,2,15,1,14,0,2,6,42,23,12,0,2,6,1,6,0,7,45,10,3,0,3,0,6,10,1,2,5,7,2,7,2,35,6,0,2,11,12,31,13,4,1,6,0,19,0,2,14,6,29,6,21,0,13,13,2,3,5,22,6,3,50,14,24,1,3,9,46,377,5,129,0,1,54,8
OTU_558,1,0,2,0,8,1,8,1,8,8,0,2,5,0,0,2,4,0,0,0,2,6,0,0,0,1,0,0,0,6,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,9,0,2,0,0,5,0,2,0,14,1,0,2,3,4,5,2,9,2,0,0,3,69,6,1,11,1,0,0,1,19,0,0,1,17,0,1,0,0,13,0,1,7,0,1,4,0,1,2,1,2
OTU_145,1,2,19,38,9,12,0,5,0,0,0,0,35,0,0,5,0,0,9,3,0,7,19,30,63,0,11,0,0,7,0,1,0,19,5,23,0,0,0,2,23,5,8,0,3,0,38,0,9,42,20,5,8,0,11,24,0,15,50,0,70,0,0,54,54,29,0,0,8,18,30,0,13,19,0,36,81,20,0,0,5,49,35,22,0,31,14,75,0,8,17,0,5,30,102,19,0,25,0,0,0,18,83,0,1,21,17
OTU_1010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0
OTU_489,2,0,8,0,0,0,3,0,4,0,0,0,11,0,0,1,2,1,0,0,0,0,0,2,0,3,0,0,87,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,5,0,0,0,1,1,1,0,1,5,1,0,0,0,6,1,0,0,0,0,3,1,3,1,0,3,1,0,0,0,1,1,0,2,0,1
OTU_277,3,0,5,0,0,0,0,0,1,0,4,6,0,7,0,0,0,0,14,2,1,1,1,0,0,0,0,0,0,1,0,0,4,0,11,0,0,0,4,0,12,0,0,13,5,0,1,0,10,3,79,0,8,0,0,0,23,0,0,1,5,25,0,0,0,1,2,0,12,13,0,9,4,0,0,0,4,5,1,30,30,2,10,0,1,0,11,0,0,1,0,1,0,2,38,0,4,0,6,0,11,0,0,64,38,0,1
OTU_129,2,21,6,14,0,27,11,3,0,2,7,181,1,0,1,2,0,0,109,2,1,7,10,24,7,5,8,15,4,4,7,0,5,7,1,63,0,0,28,1,80,1,2,4,5,2,98,0,11,4,2,31,3,23,8,1,1,2,0,13,7,19,3,81,1,3,4,11,4,27,8,29,54,29,3,4,6,2,14,3,3,5,74,4,0,3,67,14,4,1,17,16,2,18,12,0,5,22,11,225,15,5,37,0,4,96,18
OTU_593,1,0,1,1,4,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,6,0,0,0,1,1,1,0,1,1,0,0,0,4,6,2,1,0,1,0,0,2,3,1,1,3,12,0,0,1,0,0,0,0,2,0,1,2,1,1,0,0,1,0,2,0,0,0,1,0,0
OTU_722,1,0,1,0,0,0,0,0,1,0,4,4,20,1,0,0,0,0,0,263,46,11,0,0,0,1,18,0,0,24,1,0,0,0,0,0,0,3,0,0,1,0,0,8,2,0,0,0,0,1,0,33,0,0,0,0,31,0,1,0,3,179,2,0,0,10,0,0,1,0,30,27,1,0,1,0,0,0,0,0,0,1,0,0,0,0,151,0,0,13,0,0,101,0,0,4,2,0,280,3,0,4,0,0,1,0,1
OTU_466,1,0,0,0,0,0,1,7,1,0,0,1,1,0,0,2,11,0,2,6,0,0,4,19,0,3,0,0,0,1,0,0,0,0,8,11,0,13,0,0,11,0,11,7,1,0,0,0,0,10,15,0,3,0,0,0,3,3,5,0,1,2,0,0,0,0,6,0,0,1,3,1,5,0,0,12,4,19,0,0,1,11,0,4,1,0,9,0,0,0,0,0,14,0,9,0,12,1,0,0,0,0,0,3,4,0,0
OTU_809,1,0,0,0,0,0,0,0,6,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,2,8,0,1,0,0,11,4,1,0,1,0,0,1,0,0,6,15,1,0,8,0,0,2,0,1,0,3,2,4,0,0,0,0,0,0,8,1,5,21,2,0,0,4,0,1,0,0,0,6,3,18,0,1,0,2,4,9,1,0,0,1,1,1
OTU_791,1,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,9,0,1,1,1,0,1,12,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_353,1,0,0,13,2,2,4,0,1,0,1,0,9,1,1,2,2,1,1,0,0,0,2,1,21,1,2,4,0,0,2,0,2,2,0,8,1,0,0,1,27,8,3,0,1,4,16,62,7,15,11,1,2,3,1,13,5,11,12,0,1,0,1,33,7,0,1,0,2,36,12,150,1,4,0,0,2,5,33,28,0,32,23,2,0,2,11,2,3,5,8,13,1,5,2,0,0,0,6,18,35,0,16,5,0,3,1
OTU_512,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,4,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,55,0,0,0,5,0,0,1,0,0,0,14,0,0,0,0,48,2,0,0,2,1,0,0,0,0,0,0,0,0,1,2,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,2,2,0,0
OTU_549,2,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,3,0,2,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
