OTUId,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
OTU_366,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,142,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,21,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_33,249,48,424,47,234,250,370,12,144,64,72,67,89,48,50,276,30,122,34,131,107,28,4,79,48,2,7,2,6,88,134,70,48,237,1,28,17,149,85,0,30,18,0,0,2,50,5,0,138,169,80,80,67,21,165,304,477,54,188,224,24,83,216,1,45,474,32,32,804,174,97,99,20,537,133,6,187,1,84,743,81,15,111,9,42,462,37,0,0,114,0,0,60,22,74,63,31,69,95,3,160,10,19,151,230,37,93
OTU_35,52,51,87,53,11,42,393,25,82,20,257,104,61,32,8,87,27,2,49,36,19,122,212,225,2,44,122,58,8,109,231,4,31,381,12,111,13,30,70,163,10,113,16,20,42,11,14,2,76,325,95,29,17,54,0,17,1044,85,159,188,19,12,109,62,176,415,0,36,154,0,341,108,121,15,81,15,325,51,169,175,14,112,77,423,3,126,113,150,8,43,10,316,175,166,248,276,14,63,330,1181,2546,79,199,16,13,284,93
OTU_284,195,17,5,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,79,0,17,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,442,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0,1,0,0
OTU_53,19,2,139,0,56,0,149,86,38,50,60,72,5,4,23,52,42,1,5,29,53,0,13,2,5,32,0,42,1,209,84,8,59,96,17,28,26,10,212,0,91,26,9,14,18,21,51,0,154,144,287,16,84,21,77,212,229,0,0,856,129,64,21,0,67,397,9,72,108,179,89,138,75,51,48,28,67,35,120,291,25,106,144,44,3,127,202,14,52,237,132,354,71,125,41,51,82,182,132,377,379,41,3,82,14,160,107
OTU_12,94,5,1475,0,0,0,0,433,752,206,10,1,385,87,512,70,0,0,227,132,1,355,439,134,2,1233,1073,0,533,1,1,288,0,0,0,0,1,29,601,1244,0,3,46,1018,30,904,0,0,68,1480,1010,22,217,0,0,0,43,3,17,201,3916,104,0,152,2,15,91,0,116,31,9,0,12,0,281,1,59,966,0,0,789,1,1065,279,5,976,42,0,21,0,169,3100,390,3,328,72,156,75,165,12,0,0,0,212,391,1079,17
OTU_247,161,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,1,0,0,0,0,0,0,1,36,0,1,0,42,380,0,0,0,0,13,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,3,55,109,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_31,131,1,35,1,405,101,456,28,106,421,7,89,677,126,69,369,295,155,12,535,139,59,4,1143,2,28,39,0,12,173,23,22,76,104,79,42,4,747,4,0,7,0,2,21,7,1,8,0,2,4,4,171,29,128,37,292,10,31,38,14,25,136,7,20,32,211,473,152,245,50,1,37,14,294,234,2,176,40,80,48,1,60,3,0,81,34,61,34,0,8,133,1,74,37,27,3,6,244,802,0,27,1,17,202,98,18,110
OTU_112,225,81,584,10,313,346,676,182,248,163,819,159,121,39,72,217,232,277,113,501,138,70,15,129,8,129,18,1,30,1347,926,315,256,104,184,65,51,903,60,186,192,490,71,220,22,367,783,0,713,499,11,310,146,92,263,2252,356,210,465,515,60,877,2627,80,41,2033,544,938,1109,125,56,839,463,747,656,33,280,114,1645,1541,39,459,152,6,83,212,1376,200,6,28,718,9,284,698,77,545,26,429,134,5,1503,260,235,157,83,246,727
OTU_56,40,6,35,67,39,30,6,45,30,17,40,45,45,15,164,12,38,19,21,45,6,30,51,33,52,23,31,23,19,44,31,11,4,37,5,81,12,8,74,68,40,11,15,10,14,22,19,3,41,80,87,30,18,23,31,20,34,0,0,31,27,26,62,600,235,68,10,38,85,67,112,42,18,10,48,4,21,10,65,60,7,1,184,105,3,74,95,83,7,2,62,242,41,129,22,71,1,39,21,761,483,8,141,7,50,52,12
