#OTU ID,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Burkholderiaceae,0,2.05E-05,0,6.12E-05,3.80E-05,0,0,0,0,0,0,0,4.26E-05,0,0,0,0,0,0,0,0,6.78E-05,0,0,0.000177683,0,0,0,0,0,0,0.000143864,0.000133103,0,0,0,0,0,0,0,0,0,0,0,0,0.000271724,0,0,0,0,0.000185612,0,3.64E-05,0,8.00E-05,3.85E-05,7.34E-05,0,0.000192363,0,6.40E-05,0,0,0.000109262,4.80E-05,2.18E-05,7.00E-05,5.18E-05,0,0,5.38E-05,3.67E-05,0,0,0,0,2.15E-05,0,2.57E-05,0,0,3.71E-05,0.000100695,0,0,0,0,0,0.000610128,0,5.29E-05,5.94E-05,0,0,0,0,4.40E-05,4.99E-05,0,0,1.50E-05,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Comamonadaceae,0,8.22E-05,0,0,0,0,5.71E-05,7.24E-05,0,0,0,9.21E-05,0,0,6.59E-05,0,0,0,0,0,0,0,0,6.91E-05,0.000355366,6.28E-05,0.000133138,0.000626763,0,0,0,0,0.000133103,0.000112543,0,0.000279174,0,4.63E-05,3.63E-05,0,6.24E-05,0.000348189,0,0,0,0.000163035,0,2.97E-05,0,2.57E-05,7.95E-05,6.90E-05,0,0,0,1.93E-05,3.67E-05,0.000134971,0.000192363,0,6.40E-05,0,0,0.000109262,4.80E-05,4.36E-05,0,5.18E-05,0,7.22E-05,0.000107567,3.67E-05,0,7.69E-05,3.61E-05,0,8.61E-05,0,2.57E-05,5.86E-05,0,0.000111185,0,0.000162973,0.000165071,0,0,5.94E-05,0.001220256,0.000132293,2.64E-05,0,8.26E-05,0,9.83E-05,0,0,4.99E-05,2.74E-05,7.63E-05,6.01E-05,0,7.75E-05,0,0,4.43E-05,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Oxalobacteraceae,0,0,2.98E-05,0,0,0,0,0.000470639,0.000104646,0,0.000909504,0,0,0.000429,0,0,0.001152221,0,0.000387034,0,0.000475195,0,0,0.002973104,0,0,0,0,0,0.00021019,0,0,0,0.000112543,0,0,0,0.001249769,0.000326999,0,0,0,0,0,5.82E-05,0,0,0,0,0,0.00201522,0.001310164,0,0.002060875,0.000359899,0,0,0,0,0,0.000128025,0.000809037,3.22E-05,0,0,0,7.00E-05,0,5.79E-05,0,0,0,0.00074129,0,0,0.000855432,0,0,0,0,0.000378829,0,0.000100695,0,0,0,0,0,0,0.000132293,0,0,0,0.000163729,0,0,0.000219896,0,0.000520363,0,0,0,0,0.00042378,0.000433072,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Methylophilales;D_4__Methylophilaceae,0,0,5.96E-05,0.000122392,3.80E-05,7.56E-05,0,0.000181015,0,0,0,0,0,0,0,5.89E-05,0,0,0,0,0,0,0.000254421,3.46E-05,0.000177683,6.28E-05,0.000133138,0.000313381,0.0001755,0,0,0.000143864,0,0,0,0.000139587,0,9.26E-05,0,0.000159541,0.000187207,0.000139276,0,0.000109643,0,0.000163035,0.000132153,0,0.000115201,2.57E-05,0.000238644,0,0,5.28E-05,4.00E-05,0,0,0.000202456,4.81E-05,6.61E-05,0.000192037,0,3.22E-05,0.000182103,0.000240027,6.54E-05,0,0,5.79E-05,0.000216481,5.38E-05,0.000109999,5.29E-05,0,3.61E-05,8.55E-05,0,6.82E-05,0,3.91E-05,0,0,2.52E-05,0.000488918,0,5.86E-05,4.48E-05,5.94E-05,0.000610128,0,2.64E-05,0.000178153,0,5.46E-05,9.83E-05,0,0,0.000149671,5.48E-05,0.00015259,0.000150349,0,2.58E-05,3.03E-05,3.61E-05,4.43E-05,5.84E-05
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae,0.000165062,0,0.000446947,0,0,0,8.56E-05,0,0.000261616,0,0.000129929,9.21E-05,0.000596582,0.001072501,0,5.89E-05,0.000128025,6.94E-05,0.000290276,0,0,0,0.00012721,0.000207426,0,0.000251083,0,0,0.015444015,0.000294266,0,0.000431593,0.000133103,0,0.001092478,0,0,0,3.63E-05,0.000239311,0,0,0.00037037,0,0,0,0,0,0,0,0,0.00068956,0,0,0.000519854,3.85E-05,0.000183574,0,0,3.30E-05,3.20E-05,5.99E-05,3.22E-05,3.64E-05,0,0,0.000420256,0,0,0,0,0.000219998,0.000105899,0,0,0.003336185,2.15E-05,0.000783779,0,3.91E-05,0.000974131,7.41E-05,2.52E-05,0,0,0.000351309,2.24E-05,5.94E-05,0,0,0,0.000237537,0.000165112,0.000218305,9.83E-05,0,0.000131938,0.000149671,0,0,1.50E-05,0.003587372,5.16E-05,0.00018162,0.000793966,0,0.000116754
D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae,0,2.05E-05,0,0,0,0,0,0,0,0.000133129,6.50E-05,4.61E-05,0,0,0,0,0,6.94E-05,4.84E-05,8.28E-05,0,0.000135511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24E-05,0,0,0,0,0,0,0,5.76E-05,5.13E-05,0,6.90E-05,0,0,0,0,0,0,4.81E-05,3.30E-05,0,0,3.22E-05,3.64E-05,0,2.18E-05,0,0,0,0,5.38E-05,3.67E-05,0.000105899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16E-05,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Aeromonadales;D_4__Succinivibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021279816,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae,5.50E-05,0.00096539,0.000685319,0.000305979,0.001328878,0.000566958,0.000285421,0.00036203,0.000470908,0.000998469,0.000162411,0.001059664,0.000468743,0.00032175,0.000131813,0.000647897,0.002624504,0.000763624,4.84E-05,0.000372501,0,0.001016329,0.001653734,0.002419968,0,0.00094156,0.002263347,0.001880288,0.002106002,0.000168152,4.58E-05,0.000143864,0.000931718,0.000450172,0.000109248,0.00041876,0.005613472,0.00101833,0,0.000239311,0.000436817,0.000208914,0.000925926,0.000986788,5.82E-05,0.000978208,0.002907361,0.204904664,0.000230401,0.000128281,2.65E-05,0.000137912,0.000581945,0.002800676,0.000279922,0.000211926,0.000587436,0.002429478,0.000817544,0.000132179,0.000224043,3.00E-05,9.67E-05,0.020832575,0.000336038,0.000217988,0.000700427,0.007151371,0.000492482,0.001876173,5.38E-05,0.000109999,0.00222387,0.001384615,0.00032518,0.104619333,0.000258248,0.024263077,0.000333658,9.77E-05,0.00135296,3.71E-05,5.03E-05,0.000488918,0.000330142,0.000117103,0.000156814,0.00695022,0.001220256,0.000264585,0.001163037,2.97E-05,0.000495336,5.46E-05,9.83E-05,0.000400695,4.40E-05,0.019507084,0.000191713,3.81E-05,0.002901732,0.004942602,0.00464744,0.00018162,0.000613519,0.000354704,0.00040864
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pasteurellales;D_4__Pasteurellaceae,0,0,0,6.12E-05,7.59E-05,7.56E-05,0.000599383,0,0.000156969,0,0.00126681,4.61E-05,0,0,6.59E-05,0.0001178,0,6.94E-05,0,0,0.000855351,6.78E-05,0,0,0.000177683,0,0,0,0,0.001429292,0.000915374,0.000863185,0.000266205,0,0,0,0.012830794,0,3.63E-05,0,0.000124805,0.019011142,0,0,0,0.000652138,0.011232985,0.046318536,0.000748805,0,0,0,0.000254601,0,8.00E-05,0.002254118,0.000110144,0.001822108,0.002693085,0.001718327,0,0.000329608,0,0,0.000528059,0,0,0.000259108,5.79E-05,0.021287343,5.38E-05,0.00098999,0,0.000307692,0,0,0,3.41E-05,0.000102664,0,0,0,0,8.15E-05,0.000165071,0,0.000672058,0,0.003050641,0.013758434,0,0.00014846,0,0,9.83E-05,0.000178086,0,0.000249451,0.000684688,0,0,0,0,0,0,8.87E-05,0.003385873
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae,0,2.05E-05,0,0,0,0,0,3.62E-05,0,0,0,0,4.26E-05,0,6.59E-05,0,0,0,9.68E-05,0,0,0.000135511,0,0,0.000355366,0,0,0.001253526,8.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.038579387,0,5.48E-05,0,0,0.002114444,0.106692762,5.76E-05,5.13E-05,5.30E-05,0,7.27E-05,5.28E-05,0,1.93E-05,0,0.000134971,0.000288545,3.30E-05,0,0,0,0,0.000768086,6.54E-05,0,5.18E-05,2.90E-05,7.22E-05,0.000645404,7.33E-05,5.29E-05,7.69E-05,7.23E-05,0,4.30E-05,3.41E-05,2.57E-05,0,5.41E-05,3.71E-05,0,8.15E-05,0,5.86E-05,4.48E-05,0,0,0,0,8.91E-05,8.26E-05,0,0,0,0,9.98E-05,0,0,1.50E-05,0,2.58E-05,0,0,0,0.000116754
